0.5  0.00
2  0.00
3.5  0.01
5  0.02
6.5  0.04
8  0.08
9.5  0.21
11  0.38
12.5  0.57
14  0.75
15.5  0.89
17  0.97
18.5  1.02
20  1.04
21.5  1.02
23  1.00
24.5  0.96
26  0.90
27.5  0.84
29  0.75
30.5  0.69
32  0.67
33.5  0.67
35  0.68
36.5  0.66
38  0.57
39.5  0.53
41  0.57
42.5  0.62
44  0.64
45.5  0.62
47  0.62
48.5  0.63
50  0.61
51.5  0.58
53  0.49
54.5  0.44
56  0.47
57.5  0.51
59  0.48
60.5  0.41
62  0.46
63.5  0.63
65  0.72
66.5  0.71
68  0.66
69.5  0.65
71  0.62
72.5  0.57
74  0.38
75.5  0.34
77  0.31
78.5  0.22
80  0.17
81.5  0.16
83  0.19
84.5  0.27
86  0.35
87.5  0.41
89  0.41
90.5  0.40
92  0.36
93.5  0.29
95  0.23
96.5  0.23
98  0.24
99.5  0.20
101  0.18
102.5  0.18
104  0.24
105.5  0.27
107  0.32
108.5  0.38
110  0.38
111.5  0.35
113  0.23
114.5  0.14
116  0.10
117.5  0.05
119  0.01
121.4375  -0.02
123.875  -0.05
126.3125  -0.04
128.75  0.01
131.1875  0.25
132.7142857  0.58
133.7857143  0.72
134.8571429  0.94
135.9285714  1.06
137  1.09
138.0714286  1.08
139.1428571  1.03
140.2142857  0.99
141.2857143  0.96
142.3571429  0.92
143.4285714  0.89
144.5  0.88
146  0.89
147.5  0.96
149  1.01
150.5  1.02
152  1.01
153.5  0.95
155  0.81
156.5  0.65
158  0.72
159.5  0.76
161  0.67
162.5  0.67
164  0.54
165.5  0.44
167  0.42
168.5  0.49
170  0.56
171.5  0.65
173  0.66
174.5  0.62
176  0.58
177.5  0.57
179  0.64
180.5  0.70
182  0.72
183.5  0.73
185  0.68
186.5  0.62
188  0.53
189.5  0.40
191  0.28
192.5  0.20
194  0.17
195.5  0.11
197  0.08
198.5  0.14
200  0.22
201.5  0.22
203  0.15
204.5  0.13
206  0.11
207.5  0.09
209  0.08
210.5  0.07
212  0.05
213.5  0.03
215  0.03
216.5  0.03
218  0.05
219.5  0.10
221  0.14
222.5  0.21
224  0.46
225.5  0.70
227  0.68
228.5  0.57
230  0.53
231.5  0.44
233  0.23
234.5  0.10
236  0.08
237.5  0.19
239  0.22
240.5  0.29
242  0.40
243.5  0.53
245  0.70
246.5  0.84
248  0.90
249.5  0.92
251  0.89
252.5  0.82
254  0.76
255.5  0.75
257  0.77
258.5  0.74
260  0.71
261.5  0.73
263  0.77
264.5  0.78
266  0.77
267.5  0.77
269  0.80
270.5  0.79
272  0.70
273.5  0.58
275  0.57
276.5  0.61
278  0.60
279.5  0.49
281  0.36
282.5  0.24
284  0.15
285.5  0.15
287  0.14
288.5  0.14
290  0.23
291.5  0.35
293  0.40
294.5  0.42
296  0.47
297.5  0.51
299  0.52
300.5  0.45
302  0.36
303.5  0.27
305  0.25
306.5  0.24
308  0.25
309.5  0.22
311  0.16
312.5  0.13
314  0.14
315.5  0.16
317  0.18
318.5  0.18
320  0.18
321.5  0.15
323  0.07
324.5  0.02
326  0.01
327.5  -0.01
329  -0.03
330.5  -0.04
332  -0.03
333.5  0.05
335  0.25
336.5  0.45
338  0.66
339.5  0.84
341  0.97
342.5  1.06
344  1.07
345.5  1.00
347  0.89
348.5  0.75
350  0.61
351.5  0.72
353  0.67
354.5  0.61
356  0.57
357.5  0.52
359  0.45
360.5  0.46
362  0.45
363.5  0.43
365  0.39
366.5  0.35
368  0.35
369.5  0.37
371  0.34
372.5  0.29
374  0.26
375.5  0.23
377  0.21
378.5  0.21
380  0.21
381.5  0.18
383  0.16
384.5  0.13
386  0.11
387.5  0.08
389  0.05
390.5  0.06
392  0.04
393.5  0.03
395  0.01
396.5  -0.01
398  -0.02
399.5  -0.04
401  -0.05
402.5  -0.05
404  -0.04
405.5  -0.04
407  -0.05
408.5  -0.05
410  -0.03
411.5  -0.01
413  0.00
414.5  0.03
416  0.10
417.5  0.17
419  0.24
420.5  0.31
422  0.38
423.5  0.45
425  0.52
426.5  0.59
428  0.69
429.5  0.82
